"","H.sst.AEN","E.sst.AEN"
"1885-01-01",-0.512202845111123,-0.499167506354829
"1885-02-01",-0.546296153664065,-0.670949378748373
"1885-03-01",-0.341092374541668,-0.399918593224852
"1885-04-01",-0.179210985823616,-0.40780163595493
"1885-05-01",-0.0731542630570628,-0.0229643849470513
"1885-06-01",-0.070539966839403,-0.384011769438842
"1885-07-01",0.2281515789363,0.405472180498863
"1885-08-01",1.06247338384711,0.878426110184303
"1885-09-01",0.528142233747512,0.651078374859194
"1885-10-01",0.767987613883654,0.856083808032522
"1885-11-01",0.617336288414031,0.887472693987079
"1885-12-01",0.842872007080621,0.748771611053208
"1886-01-01",0.671063454654549,0.764801610659407
"1886-02-01",0.477701449864689,0.920198493176213
"1886-03-01",0.808597374949633,0.644779783796212
"1886-04-01",1.11118739190908,0.718371127131673
"1886-05-01",0.391266376117997,0.436514057657206
"1886-06-01",0.350146635985906,-0.0204340290003234
"1886-07-01",0.465479471106599,0.197020207540911
"1886-08-01",0.2170070551586,-0.00488911197927222
"1886-09-01",-0.103733975596145,-0.119429980003828
"1886-10-01",0.152335401661197,-0.20616547541546
"1886-11-01",-0.041207569745541,0.149189261863569
"1886-12-01",0.358390279828839,0.305213304863736
"1887-01-01",-0.00333385565995609,0.0269555778244436
"1887-02-01",-0.00663817059989999,0.17921601513361
"1887-03-01",-0.154958851423408,0.0842673504386478
"1887-04-01",-0.391449779834826,-0.231601642611685
"1887-05-01",-0.209457839697658,-0.535279108405557
"1887-06-01",-0.837760251239191,-1.32780801235887
"1887-07-01",-0.336353727090378,-0.965148769677465
"1887-08-01",-1.41306091084013,-1.0382675590497
"1887-09-01",-0.450702262164437,-0.48743933271759
"1887-10-01",-0.423760521180043,-0.41589745470061
"1887-11-01",-0.10776474286391,0.0540578814948593
"1887-12-01",0.0972359870222929,-0.438448408285803
"1888-01-01",-0.567262829193833,-0.606258682961211
"1888-02-01",-0.84129435062423,-0.764832381725898
"1888-03-01",-0.639626525214263,-0.977180868792455
"1888-04-01",-0.768216968763844,-0.601840560299655
"1888-05-01",-0.743445409834084,-0.626414668628696
"1888-06-01",-1.3911784092884,-1.36324121223878
"1888-07-01",-0.116419293693692,-0.937122948597616
"1888-08-01",-0.0448490898315453,-0.36190435757613
"1888-09-01",-0.250165650668376,-0.745649941886836
"1888-10-01",-0.752029815985741,-0.619861864189054
"1888-11-01",-0.212588926874016,-0.604825542148725
"1888-12-01",-0.262493169325775,0.0526769121732356
"1889-01-01",0.304675628025879,0.238654218722187
"1889-02-01",0.0148499593044816,-0.096816250224076
"1889-03-01",0.115672181469147,0.0396402741320159
"1889-04-01",0.0870781269994158,0.428807290810124
"1889-05-01",0.263437403595256,0.817287515683235
"1889-06-01",0.638752885300358,0.753368500370486
