"","DJF","MAM","JJA","SON"
"1980",-0.0126248679926809,-0.0363564722665329,0.304791239594895,-0.103755696462558
"1981",-0.263417430258923,-0.441562493417916,-0.47020944563591,-0.410687570483177
"1982",-0.380596570497071,0.214664671277602,1.51677268053176,2.34112952762945
"1983",3.2372274923251,3.83914048884751,1.70870037264295,-0.356368912160611
"1984",-0.642485136153276,-0.520129685942528,-0.258842507132781,-0.663293274998491
"1985",-0.575561899355752,-0.815026195396893,-0.626749636487297,-0.230020019591407
"1986",-0.243215949660971,-0.456929412210466,-0.0704291648318242,0.827080989794998
"1987",0.93120304549633,0.749219027175296,1.2873410346439,0.996403624993048
"1988",0.0486428208238409,-0.428301537101519,-1.31294486696324,-1.22513880373417
"1989",-0.931372111684862,-0.767421802027878,-0.988794877653427,-0.396044234770056
"1990",-0.13681730318934,-0.269993002023415,-0.0418074746580475,0.117857743138887
"1991",0.125905783358842,0.00638359657779467,0.773298111005346,0.871050706778536
"1992",1.43330132149798,1.89371532556212,0.862129713790706,-0.00676847306522655
"1993",0.28129998163338,0.871833526424663,0.969207661509989,0.0521759227506694
"1994",-0.252244330430332,0.0407286460588165,0.563384216952097,0.668136395044679
"1995",0.436176451664054,0.180595330897023,-0.457699677878703,-0.451210625352111
"1996",-0.659880075774921,-0.45245345036505,-0.650669284089366,-0.413167485129614
"1997",-0.167799846196416,0.418332717843016,3.15267896033016,3.40771673091134
"1998",3.73538213086357,3.4883046039831,-0.645305812582722,-1.31360982891683
"1999",-1.07359666649872,-0.96712556315419,-1.61273214392393,-0.89881735844603
"2000",-1.02280809380419,-0.953993915228393,-0.878010039211127,-0.821641289265886
"2001",-0.840374805735984,-0.877541842520213,-0.465782934073409,-0.184084321332079
"2002",-0.0520325281884019,-0.00922373759312952,0.502324162522509,0.889914965286786
"2003",0.242041449322217,-0.108594172089643,-0.287375769778845,-0.254908207106778
"2004",-0.337517715108021,-0.267533769769515,0.724046946986458,0.417845008307753
"2005",0.0586923537326582,-0.0185995681034827,-0.482541204675529,-0.321743152096389
"2006",-0.507177022997107,-0.583200848047273,-0.119525031822525,0.536303049105659
"2007",0.00453758658862525,-0.235531363917469,-0.595686764810389,-0.744675825555969
"2008",-0.73731535474503,-0.475724185851745,-0.696544580853044,-0.693031478936045
"2009",-0.929945465943593,-0.659340619330933,0.150721431786908,0.621849882164687
"2010",0.77833618264605,-0.129946830110516,-1.53528968392538,-1.51339006838977
"2011",-0.950220095668592,-0.879542485037036,-0.801634921791264,-0.780595198651868
"2012",-0.657496652043193,-0.337875224819383,0.0651778753891611,0.0371788210288956
"2013",-0.428390238552836,-0.601249836896379,-0.481670707760176,-0.352741116401407
"2014",-0.252803893905443,-0.205676572087475,0.326783455125326,0.170396211785925
"2015",0.0589318855828526,0.337173258674315,2.35975204412744,2.36828971441592
"2016",1.57744662744947,0.213892281945235,-0.843841377566269,-1.15932905122935
"2017",-0.419578183498422,-0.0979721587570047,-0.207200325482517,-0.396324842337259
"2018",-0.519841159665944,-0.400757684746113,-0.179508402968421,0.239908828462087
"2019",0.181517278401887,0.109477572861541,0.28876383134225,0.0579093247855172
"2020",-0.135528993836859,-0.365856619315914,-0.845077101725753,-0.929800611971729
