"","H.sst.AMM","E.sst.AMM"
"1956-08-01",0.102583016221764,0.164174134519118
"1956-09-01",0.244562750422262,0.152828852121244
"1956-10-01",0.402042653135979,0.575092631396454
"1956-11-01",0.545739328737321,0.543165974807438
"1956-12-01",0.472938163702044,0.703998394158107
"1957-01-01",0.292116603739545,0.2332923380033
"1957-02-01",-0.263923531471962,-0.0771206469062075
"1957-03-01",-0.0544268976676475,0.0849779826730267
"1957-04-01",-0.0443393794144029,-0.0741948981993491
"1957-05-01",-0.0978514322184396,-0.101915475340778
"1957-06-01",-0.103312780105161,0.105826137224322
"1957-07-01",0.29603062897651,0.304926186219796
"1957-08-01",0.227364727526017,0.507752133299914
"1957-09-01",0.523809973594572,0.59985164752898
"1957-10-01",0.429493594299958,0.63518068302814
"1957-11-01",0.82010402536363,0.689319933455466
"1957-12-01",0.559006984717616,0.767926785139278
"1958-01-01",0.526716829306385,0.793371649697637
"1958-02-01",0.808193900489659,0.950278604346571
"1958-03-01",1.36207523076569,1.54110035820924
"1958-04-01",1.49433158127958,1.64381675622317
"1958-05-01",1.26038174429887,1.29208492739629
"1958-06-01",1.29161847649248,1.09451124297933
"1958-07-01",0.774320461990403,0.585835742567811
"1958-08-01",0.666951337553319,0.631642258981695
"1958-09-01",0.749648040786346,0.608764478194783
"1958-10-01",0.611270747799386,0.737415663200661
"1958-11-01",0.716084066681016,0.663519372464805
"1958-12-01",0.282235892250778,0.330733751208496
"1959-01-01",0.360631997539502,0.346001667541623
"1959-02-01",0.254572612674484,0.439762905870194
"1959-03-01",-0.325985945317242,-0.0666101350028347
"1959-04-01",-0.443961502441334,-0.177673018963544
"1959-05-01",-0.17748465974508,0.0925405718615641
"1959-06-01",-0.00574271953211763,0.215436984191966
"1959-07-01",-0.0716351027042968,0.267866698993081
"1959-08-01",-0.0407274547556128,0.130901423401997
"1959-09-01",0.162805577760653,0.116726540052635
"1959-10-01",-0.0318466044714471,0.147536695083523
"1959-11-01",0.167348193157963,0.296216281650951
"1959-12-01",0.210265327566561,0.320910703140198
"1960-01-01",0.335191055979532,0.556828915755501
"1960-02-01",0.834743895263708,1.00068790492033
"1960-03-01",0.203557522266458,0.522499661830524
"1960-04-01",0.438220159668866,0.639148245359382
"1960-05-01",0.264173038628476,0.542006960063738
"1960-06-01",0.411689820065441,0.463985717984643
"1960-07-01",0.192412753755546,0.435075422460851
"1960-08-01",0.458992016111324,0.495581572613965
"1960-09-01",0.340178431628013,0.406816819355354
"1960-10-01",0.383069054454922,0.607908591101311
"1960-11-01",0.807410716097339,1.00254158161643
"1960-12-01",0.504178486154224,0.832200115399639
"1961-01-01",0.489157598611566,0.921440311779606
"1961-02-01",0.569283560520367,0.741192394455759
"1961-03-01",0.357543903601109,0.633016463134294
"1961-04-01",0.549108223843171,0.974447291374979
"1961-05-01",0.486324153451684,0.696919854076634
"1961-06-01",0.0221593140340874,0.0691807655671418
"1961-07-01",0.0800128683085567,0.239833183590275
"1961-08-01",0.363863129398589,0.358038585552119
"1961-09-01",0.259889086188107,0.158989441315961
"1961-10-01",0.0438533893636081,0.115038145966861
"1961-11-01",0.244213423260701,0.41903488828757
"1961-12-01",0.450761946448766,0.629662976451484
"1962-01-01",0.320691335095384,0.511034413827271
"1962-02-01",0.239574128620008,0.476189743805828
"1962-03-01",0.50642810203883,0.598843228312336
"1962-04-01",0.259663434117733,0.451978889111776
"1962-05-01",0.202361300761778,0.304159473498962
"1962-06-01",0.170431588492147,0.199540123655142
"1962-07-01",0.407382033946239,0.445399134811655
"1962-08-01",0.386536878635972,0.439684504995563
"1962-09-01",0.190999711926694,0.340992890562628
"1962-10-01",0.055359359379352,0.209157373922347
"1962-11-01",0.42750720354203,0.474093781642469
"1962-12-01",0.84839935843583,0.830445488963334
"1963-01-01",0.783850785820267,0.956928122719953
"1963-02-01",0.773423774882635,0.834845295575713
"1963-03-01",0.0566771368314034,0.426148807073577
"1963-04-01",0.17908259342504,0.388188895778061
"1963-05-01",-0.0533322222284462,0.0618743238741203
"1963-06-01",0.284980515034514,0.301948618812609
"1963-07-01",0.295351477062764,0.446726728188657
"1963-08-01",0.260593022811481,0.420048499321589
"1963-09-01",0.0514222610738818,0.305294902691384
"1963-10-01",0.0959588835642033,0.417438026329654
"1963-11-01",-0.166646227223966,0.228597360206846
"1963-12-01",-0.556891186195454,0.0428898793061298
"1964-01-01",0.0723787602691904,0.230460596012655
"1964-02-01",0.067239984524169,0.415175533842611
"1964-03-01",-0.218932560964865,0.112372189980026
"1964-04-01",-0.265750893430373,0.0717567865767246
"1964-05-01",0.192317889801031,0.434139871788548
"1964-06-01",0.0392882728581572,0.240654299637704
"1964-07-01",-0.0304015911673064,0.276968805449679
"1964-08-01",-0.0161610581769721,0.162954524161588
"1964-09-01",0.206496218383549,0.258084752272343
"1964-10-01",0.0795073400861452,0.278446690651154
"1964-11-01",0.359019508550159,0.499725205974331
"1964-12-01",0.409155521597016,0.629675502006543
"1965-01-01",0.0843950604732391,0.171058994258065
"1965-02-01",-0.382863751852646,-0.23754836036751
"1965-03-01",-0.432405939788247,-0.163582541037514
"1965-04-01",-0.533248774113011,-0.184079502460357
"1965-05-01",-0.23553382357588,-0.232093901219117
"1965-06-01",-0.211533528552255,-0.237376222278264
"1965-07-01",-0.0297011037939506,-0.133056650088678
"1965-08-01",-0.0893796481260029,-0.158629846303907
"1965-09-01",-0.173490325582535,-0.280389626860072
"1965-10-01",-0.114968059540436,-0.181548141240899
"1965-11-01",0.228327916700448,0.155407777839614
"1965-12-01",0.0755755488450041,0.181951795865483
"1966-01-01",0.0925818746689041,0.229162875746546
"1966-02-01",0.711804265908336,0.918164537161897
"1966-03-01",0.733532601481001,0.9712873653093
"1966-04-01",0.353435963235882,0.671371556595819
"1966-05-01",0.3619706944988,0.547185597261068
"1966-06-01",-0.0964563641593199,0.238418501541468
"1966-07-01",0.18189447749195,0.329969591561316
"1966-08-01",0.0310454858765565,0.233984871491003
"1966-09-01",0.279883105082445,0.386419571168024
"1966-10-01",0.435227524157796,0.458632628801176
"1966-11-01",0.104200894335271,0.414322619223552
"1966-12-01",-0.355284580581248,-0.0874667006568071
"1967-01-01",0.0224451727603195,0.0976282150035791
"1967-02-01",-0.33920083110748,-0.0942633070379042
"1967-03-01",-0.269460849782528,0.0988976832331572
"1967-04-01",0.086196929266372,0.228052270138204
"1967-05-01",-0.0158262368203123,0.0505507354324914
"1967-06-01",0.0466404440284028,0.388293991344042
"1967-07-01",0.230070967103019,0.309644178125958
"1967-08-01",0.0772261000202101,0.216063358300355
"1967-09-01",0.215338992434171,0.235446295894501
"1967-10-01",0.509575514788983,0.578266029265864
"1967-11-01",0.224866824215297,0.199778259763287
"1967-12-01",-0.0679013489306085,0.0125740933882018
"1968-01-01",-0.247212812598877,-0.0290816407963355
"1968-02-01",0.0920553850278384,0.291403738813953
"1968-03-01",0.119669017895191,0.403689380115271
"1968-04-01",-0.0918678544633695,0.226323486691965
"1968-05-01",0.215671362909164,0.310624451614125
"1968-06-01",0.26421947144765,0.290751439029441
"1968-07-01",0.237871255718805,0.305454182102547
"1968-08-01",0.0018415953578538,0.0403593927695424
"1968-09-01",-0.115866063994859,0.0146493575399207
"1968-10-01",-0.0538451730349858,0.0193074422993685
"1968-11-01",0.0180234175235729,-0.0546292889371236
"1968-12-01",-0.154822944847356,0.0781692470788541
"1969-01-01",0.269909661219552,0.303991718949657
"1969-02-01",-0.0576583023718287,0.169183617452759
"1969-03-01",0.516979503870078,0.675167262188463
"1969-04-01",0.367671962348891,0.529219426376782
"1969-05-01",0.355715895741151,0.43262334163867
"1969-06-01",0.211119610942467,0.255815366639375
"1969-07-01",0.454413762760079,0.271428301367725
"1969-08-01",0.0694646377651717,0.123803048181783
"1969-09-01",0.0229615940033869,-0.0199167937450334
"1969-10-01",-0.0445670893955017,-0.0881215502409096
"1969-11-01",0.325079707826594,0.199955556257845
"1969-12-01",0.590202895024959,0.68850386195027
"1970-01-01",1.15111030781573,1.16727985347778
"1970-02-01",0.938956874066402,1.04106036461115
"1970-03-01",1.16163082487353,1.27469952245292
"1970-04-01",1.03582193251857,1.07453794615355
"1970-05-01",0.823989194512359,0.851608633296219
"1970-06-01",0.554267671474212,0.596014666992835
"1970-07-01",0.234926056479451,0.232743532127503
"1970-08-01",0.25260818237071,0.358657504371951
"1970-09-01",0.170342342362355,0.164171010100604
"1970-10-01",0.336026606983462,0.314015537934901
"1970-11-01",0.239343885101739,0.294177711081551
"1970-12-01",0.247917728316468,0.203241977390389
"1971-01-01",-0.0305257188852112,-0.243942168203409
"1971-02-01",-0.439102842458964,-0.342219901653551
"1971-03-01",-0.446075158863332,-0.270844626266661
"1971-04-01",-0.568319237276262,-0.547595669132733
"1971-05-01",-0.622580851608671,-0.503871444721705
"1971-06-01",-0.739056056801177,-0.603638047946756
"1971-07-01",-0.233131939843597,-0.106288733208568
"1971-08-01",-0.333243198357838,-0.228502643592393
"1971-09-01",-0.186788056137485,-0.087203331124768
"1971-10-01",0.171671064017223,0.311462496812865
"1971-11-01",0.430608911741561,0.583208313130662
"1971-12-01",0.450856344389049,0.454747594761796
"1972-01-01",-0.345338300837048,-0.321145625215379
"1972-02-01",-0.578023664501219,-0.50894536206519
"1972-03-01",-0.722040476778547,-0.644953558524859
"1972-04-01",-0.446311605832252,-0.398867654148357
"1972-05-01",-0.547628389218997,-0.571381892964804
"1972-06-01",-0.553776496306978,-0.670973440492573
"1972-07-01",-0.539276664669091,-0.560639004594965
"1972-08-01",-0.743039714478536,-0.886197190311143
"1972-09-01",-0.552070588299914,-0.701224515799804
"1972-10-01",-0.318008056623811,-0.452719015435211
"1972-11-01",-0.412688878452394,-0.487625806466193
"1972-12-01",-0.899141518043644,-0.842485519944845
"1973-01-01",-0.879002861406257,-1.03795291168014
"1973-02-01",-0.990514050561007,-0.96489181750143
"1973-03-01",-1.15208703302965,-1.09517593125686
"1973-04-01",-0.99821944560922,-0.927862164300112
"1973-05-01",-0.95235572934405,-0.850170086463324
"1973-06-01",-0.749329972858667,-0.957592305643758
"1973-07-01",-0.730110332393631,-0.805402023864696
"1973-08-01",-0.799944256113656,-0.714877549003672
"1973-09-01",-0.796848848906667,-0.836685357779061
"1973-10-01",-0.704613356561707,-0.784717101374958
"1973-11-01",-0.741696988058864,-0.683159066697379
"1973-12-01",-0.486602295478436,-0.525303258873472
"1974-01-01",-0.505435695149296,-0.397093762904831
"1974-02-01",-0.400088734238373,-0.338383223548921
"1974-03-01",-0.671417035546112,-0.571639083214979
"1974-04-01",-1.17299262349125,-1.12010528624145
"1974-05-01",-1.23089086216236,-1.13914203325824
"1974-06-01",-0.754874624534131,-0.649324360936932
"1974-07-01",-0.754278715117616,-0.652969981808853
"1974-08-01",-0.523184712457848,-0.73679637150945
"1974-09-01",-0.723578679921735,-0.702203923451151
"1974-10-01",-0.695288555238442,-0.70920527466332
"1974-11-01",-0.765519989433281,-0.770020843701542
"1974-12-01",-0.766273674276373,-0.674915407661764
"1975-01-01",-0.264473578274844,-0.121103138635922
"1975-02-01",-0.163989971113266,-0.126041808437334
"1975-03-01",-0.542753826556383,-0.316090361056391
"1975-04-01",-0.212572771292003,0.0139504001422047
"1975-05-01",-0.557504710679546,-0.432710756304126
"1975-06-01",-0.429800737845128,-0.43195669271164
"1975-07-01",-0.296781008453227,-0.190078030172834
"1975-08-01",-0.166452728517329,0.0625760942978647
"1975-09-01",0.257532761767404,0.132562044369116
"1975-10-01",-0.0672010372516234,0.173979333045443
"1975-11-01",-0.0679425358239386,0.0699514317333071
"1975-12-01",0.145145821658634,0.233887174957171
"1976-01-01",0.367544405979462,0.503240855803578
"1976-02-01",-0.0475364473037349,0.157154603442394
"1976-03-01",-0.0644413612853444,0.0848588913980156
"1976-04-01",0.11352293988262,0.400559796721094
"1976-05-01",0.264700944472812,0.350026760381609
"1976-06-01",0.222590605330663,0.269517647396787
"1976-07-01",0.0179696070515606,0.409665721196783
"1976-08-01",0.478146876273518,0.620688391963911
"1976-09-01",0.177180704828895,0.52633982840808
"1976-10-01",0.290911262280069,0.435358228548322
"1976-11-01",0.443097604308476,0.347958343613551
"1976-12-01",-0.0617669988316575,-0.0511558619592397
"1977-01-01",0.0482726230538122,0.0842833103705755
"1977-02-01",-0.126336146337977,-0.0890697870296489
"1977-03-01",-0.112421642116806,0.145516180278992
"1977-04-01",-0.0652982878246347,0.188244081834741
"1977-05-01",-0.110983964016884,0.0712655183737682
"1977-06-01",0.026370628107911,0.154337728685793
"1977-07-01",-0.213614310394577,-0.0909149482899774
"1977-08-01",-0.153964726070983,-0.0210923833263675
"1977-09-01",0.117250024425435,0.150333081100697
"1977-10-01",-0.163530561913365,-0.0292229952761686
"1977-11-01",0.100975902042436,0.193174848532397
"1977-12-01",-0.025788959351763,0.22390581799775
"1978-01-01",0.428500794797556,0.552166351531611
"1978-02-01",0.519343841459156,0.63367836695075
"1978-03-01",0.592467512058287,0.888703294877862
"1978-04-01",0.863353229666928,1.18807411146843
"1978-05-01",0.593550061528793,0.594414541319362
"1978-06-01",0.363904855816048,0.333167805737872
"1978-07-01",-0.192261156356509,-0.0659672111231189
"1978-08-01",0.100475315651018,0.062118311555054
"1978-09-01",0.234945871343499,0.289737799734451
"1978-10-01",0.506287832885017,0.589719217568817
"1978-11-01",0.743791809833305,0.713426227800626
"1978-12-01",0.577444435579492,0.452765320578634
"1979-01-01",0.729170358660431,0.66816310288483
"1979-02-01",0.949825468395259,0.982881096317278
"1979-03-01",0.567414745938128,0.840872181640404
"1979-04-01",0.419752512587563,0.64967080233106
"1979-05-01",0.305293867474116,0.374756524099998
"1979-06-01",0.426382566224749,0.499952044699049
"1979-07-01",0.364815151083136,0.261674989172198
"1979-08-01",0.0589909486954477,0.076947970668913
